,cui,semtypes,name,abstracts,male_abstracts,female_abstracts
192,C2825142,['fndg'],Experimental Result,3297,44947,46812
194,C0439740,['qlco'],Eccentric,6,90,90
196,C0449788,['qnco'],Count of entities,2882,42638,44281
200,C1280500,['qlco'],Effect,4384,59535,60626
202,C1514811,['inpr'],Bibliographic Reference,199,2836,3180
204,C2347634,['qnco'],Population Mean,4370,62066,63905
206,C0450382,['inpr'],55,1056,15171,15951
208,C3542016,['inpr'],Concept model range (foundation metadata concept),1573,20821,21498
210,C0205099,['spco'],Central,1097,16133,16801
212,C0456389,['spco'],size,387,5252,5641
214,C0392760,['ftcn'],Affecting,399,5174,5514
215,C3889645,['inpr'],Clinical Trial Final Report,181,2480,2653
216,C1456348,['qlco'],Confirm,284,3885,4000
217,C0220825,['hlca'],Evaluation,5852,82196,85445
218,C1709793,['qnco'],Quantitation,238,2746,3037
219,C4522145,['clas'],Group A (blood group),747,10424,10882
220,C0456079,['clas'],Disease classification level,539,8052,8164
221,C1706385,['hlca'],Device Evaluation Method,16,251,241
223,C0085862,['idcn'],Independence,579,8807,8851
224,C1522609,['qnco'],Numerical value,411,6273,6434
225,C0332482,['anab'],Abnormal shape,4,50,60
226,C2349001,['popg'],Human Study Subject,2580,33290,34203
227,C0544726,['fndg'],Hole Finding,8,90,81
228,C1710048,['qlco'],Semi-Circle,2,20,20
229,C3844011,['qnco'],2.5,215,3075,3261
230,C4517420,['qnco'],0.1,1814,27107,28615
231,C4517385,['qnco'],0.001,2127,32795,33118
232,C4068881,['qnco'],0.9,679,10289,10655
233,C4553760,['inpr'],Study Variable,170,2379,2551
235,C0449751,['blor'],Radial deviation,3,50,40
236,C0450389,['inpr'],71,1045,15538,15851
237,C0205448,['qnco'],Two,3884,52658,56468
238,C0205092,['spco'],Unilateral,141,1794,1958
239,C0332240,['ftcn'],Unknown (origin) (qualifier value),58,762,844
241,C1546944,['qlco'],Event Seriousness - Significant,3938,54083,55567
242,C0444706,['qlco'],Measured,2187,27698,30050
243,C3854307,['qlco'],Presence (property),371,5566,5759
244,C0038436,['mobd'],Post-Traumatic Stress Disorder,127,1823,1125
250,C0009932,['grup'],Control Groups,667,8677,9629
253,C0043010,['inpr'],Waiting Lists (patient),58,704,673
256,C1510467,['qlco'],trauma qualifier,87,1242,1128
258,C0034394,['inpr'],Questionnaires,752,10042,11280
264,C2728259,"['orch', 'phsu']",Program,482,6913,6967
266,C0205653,['aggp'],Adolescent (age group),437,6520,6536
268,C0009993,['inpr'],Copyright,4295,61115,63166
269,C1457887,['sosy'],Symptoms,1233,17565,17796
274,C0695534,['idcn'],mind body,8,51,110
280,C0004361,['topp'],Autogenic Training,1,10,10
281,C0016327,"['inch', 'phsu']",Fluorides,205,2479,2882
282,C0150277,['menp'],meditation,14,104,152
284,C0043027,['acty'],War,7,100,52
285,C0005491,['topp'],Biofeedback,6,70,41
286,C0004927,['bhvr'],Behavior,2831,38079,40039
288,C0871767,['prog'],High School Teachers,3,30,50
289,C0150627,['topp'],Guided imagery,2,20,11
290,C0009818,['hlca'],Consultation,48,562,691
291,C0036592,['dora'],Self-care interventions,34,452,415
292,C0031831,['prog'],Physicians,376,5664,5923
293,C0206003,['geoa'],Kosovo,1,10,10
294,C0033908,['prog'],Psychologist,6,100,60
295,C3476428,['fndg'],PTSD score,8,81,60
301,C0392756,['qlco'],Reduced,4068,58050,59848
304,C1273869,['hlca'],Intervention regimes,1246,16715,17681
307,C2986530,['popg'],Intervention Group,234,2969,3291
309,C0678856,['inbe'],skill,101,1285,1345
314,C1513305,['topp'],Mind-Body Medicine,3,12,30
315,C0026649,['orgf'],Movement,57,584,725
316,C0033872,['prog'],Psychiatrist,20,300,251
317,C0013113,['inpr'],Drawings (art),94,1481,1433
318,C0565975,['inbe'],Self-expression,1,10,10
320,C0449820,['qnco'],Score,1057,14886,15435
322,C4068885,['qnco'],0.3,1188,17675,18138
326,C2347663,['tmco'],Pre-intervention Imaging,26,331,355
328,C2587213,['ftcn'],Control function,3116,44145,46272
335,C0033903,"['diap', 'inpr']",Psychological Techniques,1,10,10
337,C0038492,['popg'],student,50,751,751
338,C3274571,['hlca'],Clinical Study Follow-up,2583,37553,39764
339,C0332282,['tmco'],Following,2103,28768,30055
341,C0556656,['acty'],Meetings,272,4106,4210
342,C1514756,['qlco'],Receive,7655,106753,111721
344,C1519042,['resa'],Phase II/III Trial,225,3415,3718
346,C0332177,['tmco'],Monthly (qualifier value),1277,17923,18828
347,C4517631,['qnco'],2.4,149,2135,2269
348,C4517875,['qnco'],8.1,1021,15093,15610
350,C0436315,['qlco'],Symptom modification,58,791,780
352,C0441840,['clas'],Group F,10,130,140
353,C1708698,['mnob'],Light Emitting Diode Device,426,6087,6267
355,C3843708,['fndg'],29+,1460,20214,21129
356,C4319622,['qnco'],76,1052,15893,16418
357,C3810851,['fndg'],Center of town,534,6241,6605
358,C3828193,['tmco'],September,272,3899,3915
359,C0679228,['inpr'],diagnostic criteria,36,470,423
360,C1545449,['inpr'],Program participation,3,50,30
362,C4050004,['inpr'],Arm or Leg Response Group 2,658,9782,10200
363,C0444500,['qnco'],0.5,1064,15265,16105
364,C0336809,['mnob'],Railway train,121,1549,1722
365,C1279901,['qlco'],Firstly,897,12864,13115
366,C1314677,['ftcn'],Maintaining (action),704,10033,10343
367,C2699239,['mamm'],"SD, Rat Strain",831,10945,11556
368,C0017446,['geoa'],Geographic Locations,272,4068,4293
369,C1705938,['idcn'],Base - General Qualifier,2912,41161,43286
371,C1883016,['evnt'],Activity Session,471,5363,5385
372,C1516050,['ftcn'],Assignment - action,3076,46104,48599
374,C3838680,['fndg'],3+ Answer to Question,1729,24713,25707
375,C0205253,['tmco'],Immediate,168,2018,2382
377,C1548802,['blor'],Body Site Modifier - Lower,2583,37965,39907
378,C0682176,['popg'],high school students,2,30,30
379,C2983146,['cnce'],Postgraduate,17,230,240
380,C0425462,['fndg'],Method of breathing,4,41,40
381,C0870649,['popg'],High School Graduate,8,100,130
382,C3816958,['qnco'],Eighty,75,921,1041
384,C1705313,['idcn'],Term (lexical),28,370,363
385,C1872109,"['aapp', 'imft', 'phsu']",certolizumab pegol,46,781,880
392,C0025677,"['orch', 'phsu']",Methotrexate,281,4186,5054
398,C0024671,['diap'],Mammography,3279,46648,48399
403,C0032042,['topp'],Placebos,4811,69567,72219
410,C0168634,['bodm'],BaseLine dental cement,6235,91029,93552
418,C0013072,['resa'],Double-Blind Method,4270,61738,63812
420,C0036043,['hcpp'],Safety,5595,81853,84009
422,C1706408,['resa'],Placebo Control,1895,26648,26688
423,C0003873,['dsyn'],Rheumatoid Arthritis,373,5321,6791
426,C0282461,['resa'],Phase 3 Clinical Trials,1897,30990,32468
427,C0021149,['qnco'],Incidence,1756,27138,29017
428,C0332287,['ftcn'],In addition to,1659,23952,24872
434,C1456820,"['aapp', 'imft']",Tumor Necrosis Factor-alpha,122,1665,1884
435,C0041296,['dsyn'],Tuberculosis,70,1142,1152
437,C0392747,['ftcn'],Changing,1124,15645,16212
441,C3816746,['qnco'],400,588,8977,8759
445,C0439230,['tmco'],week,4244,60193,61266
449,C0667477,"['aapp', 'bacs']","TNFRSF11A protein, human",246,3407,3797
450,C1524024,['ftcn'],analysis aspect,4476,68013,71369
452,C0036849,['menp'],Set (Psychology),317,4505,4824
453,C0027627,['neop'],Neoplasm Metastasis,2249,30584,32748
454,C1280519,['qlco'],Effectiveness,6453,93918,96549
457,C0871261,['orga'],Response process,878,11925,11945
463,C4049916,['inpr'],Physical Function Subordinate Domain,183,2606,2795
466,C3538806,['spco'],Axial R,333,4796,5926
469,C0205177,['qlco'],Active,1131,15344,16758
473,C4517436,['qnco'],0.2,1209,17568,18282
477,C3842586,['qnco'],50%,2885,40940,41414
481,C4319558,['qnco'],200,888,12829,13037
483,C1705413,['inpr'],Adverse Event Domain,3024,44180,44827
487,C0444708,['npop'],Radiographic,184,2917,2555
490,C2945599,['qlco'],Mild (qualifier value),905,12240,12647
491,C2986535,['irda'],Primary Endpoint,3442,51776,52148
492,C0684224,['inpr'],Report (document),2477,34648,36772
494,C0311403,['qlco'],inhibited,63,746,733
495,C4517457,['qnco'],0.4,831,11679,12440
496,C0332283,['tmco'],Followed by,1644,21846,23226
497,C0220912,['ftcn'],Aspects of signs,213,3002,3221
498,C4517815,['qnco'],57,1071,15586,16008
499,C1512888,['idcn'],International,514,7558,8529
500,C4517430,['qnco'],0.14,315,4473,4820
501,C1999216,['qlco'],Inhibitor,511,7167,6777
502,C1853562,['fndg'],Adult onset,6,91,110
503,C1521828,['qnco'],Rate,3891,59237,62419
504,C0439828,['qlco'],Variable (uniformity),526,7677,8177
505,C4321476,['inpr'],Health Assessment Questionnaire Disability Index,96,1631,1870
507,C3843716,['fndg'],1-2,359,5214,5587
508,C4517629,['qnco'],2.2,345,5268,5378
509,C4049706,['inpr'],Borg Category-Ratio 10 Perceived Exertion Score 3,1126,16824,17454
510,C4522223,['inpr'],IPSS Risk Category Low,1313,18539,19898
511,C0439743,['spco'],Multicentric,1166,17535,18079
512,C0524527,['resa'],Drug Formulation Process,381,4952,5552
513,C1304698,['fndg'],Liquid (finding),43,574,520
514,C0443315,['spco'],subcutaneous,431,6074,6631
515,C2986411,['cnce'],Improvement,3008,42381,43478
516,C2349954,['acty'],Withdraw (activity),497,6863,7167
517,C0237477,['tmco'],Arrested progression,25,430,362
519,C4517393,['qnco'],0.01,852,12045,12435
520,C1272745,['qlco'],Improving (qualifier value),486,6660,6815
521,C2964552,['qnco'],Total score,438,6948,7216
523,C0205451,['qnco'],Five,901,11730,12162
524,C1522326,['ftcn'],Treating,2358,34029,33836
525,C4026841,['clnd'],certolizumab pegol 200 MG,3,60,60
526,C1412134,['gngm'],ACR gene,82,1191,1510
527,C0444669,['spco'],Core,227,3289,3431
528,C1539835,['gngm'],SPEN gene,84,1392,1572
529,C1442457,['tmco'],2 Weeks,392,5488,5654
533,C2349179,['qlco'],End Point,1857,28927,28800
534,C0008107,['geoa'],Chile,3698,55951,59461
540,C2003457,"['imft', 'phsu']",MenACWY,25,490,490
546,C0449543,['inpr'],Serogroup,63,1210,1210
553,C0021270,['aggp'],Infant,438,5981,7178
559,C0700144,"['imft', 'phsu']",Meningococcal vaccine,23,420,430
563,C0127526,"['imft', 'orch', 'phsu']",Meningococcal Polysaccharide Vaccine,29,540,540
565,C0041700,['geoa'],United Kingdom,126,1823,1902
568,C0086418,['humn'],Homo sapiens,670,7609,8013
569,C4517906,['qnco'],95,5528,83589,88745
576,C0006823,['geoa'],Canada,210,3295,3202
578,C0023636,['rnlw'],License,413,6509,6954
580,C0719068,"['orch', 'phsu']",CRM chromium picolinate,29,511,502
586,C0017906,['orch'],Glycoconjugates,16,280,320
589,C0036782,['lbpr'],Serum Bactericidal Test,14,260,260
591,C0009667,['qnco'],Confidence Intervals,2548,38907,41381
592,C0025303,['dsyn'],Meningococcal Infections,19,360,360
596,C0178602,['qnco'],Dosage,3910,54770,56225
600,C0025260,['menp'],Memory,108,1402,1476
601,C3179736,['imft'],MenACWY-CRM vaccine,7,140,140
602,C0042210,"['aapp', 'imft', 'phsu']",Vaccines,697,10305,12163
603,C3842582,['qnco'],90%,1715,24239,25512
606,C4554585,['inpr'],Immunogenicity (package insert),530,8040,8925
609,C0205806,['qlco'],Infant Health,48,841,871
610,C0205170,['qlco'],Good,3043,42298,43236
612,C0475208,['qnco'],Titer,346,5315,5999
614,C1510828,['orga'],Age-Months,201,3330,3438
618,C1545588,['fndg'],Protection,270,3945,4556
620,C0027362,['aggp'],Human Age Group,142,2014,2292
621,C0005516,['clna'],Biological Markers,902,11566,11763
622,C4517503,['qnco'],1.4,166,2399,2471
625,C1521801,['ftcn'],Having administered,1634,21575,22580
626,C1999230,['acty'],Providing (action),2065,29133,30684
628,C0872192,['ftcn'],immunogenic,216,3214,3577
629,C4699613,['fndg'],<2 years,284,4407,4512
630,C4319625,['qnco'],96,1037,15382,16308
633,C4517892,['qnco'],85,970,13907,14957
634,C0439073,['inpr'],97,958,14573,15295
635,C0205540,['qlco'],Approved,646,9370,9507
637,C0857208,['topp'],routine immunization,28,500,520
639,C4688607,['fndg'],Severity One Out of Four,38,610,592
641,C4699604,['fndg'],<12 months,1062,15359,15904
642,C1707814,['topp'],Dose Reduced,32,480,500
643,C4517505,['qnco'],1.45,23,331,341
645,C4517884,['qnco'],81,896,13521,13817
647,C0387382,"['aapp', 'phsu']",CI 4,617,9178,9883
650,C4517835,['qnco'],62,989,14538,14861
651,C1697762,['topp'],Booster Immunization - ActSubstanceAdministrationCode,119,2042,2081
653,C4319614,['qnco'],63,955,13992,14387
654,C4517867,['qnco'],74,871,12887,13322
655,C4517888,['qnco'],83,929,13929,14272
656,C0679646,['popg'],Participant,3184,43688,46175
657,C0201411,['lbpr'],Complement assay,4,80,80
661,C4517852,['qnco'],67,905,13074,13650
662,C4517895,['qnco'],87,867,12820,13364
663,C3828813,['qnco'],99,671,10263,10847
664,C0238884,['popg'],Canadian,100,1500,1732
665,C3844638,['fndg'],Either,1427,20077,21552
666,C3873491,['dsyn'],Invasive meningococcal disease,13,250,250
669,C3838679,['fndg'],4+ Answer to question,1385,19625,20129
670,C0231330,['tmco'],Infancy,45,650,702
671,C0205473,['ftcn'],Serologic,46,593,732
672,C0332464,['spco'],Widening,398,6080,6000
673,C1517331,['spco'],Further,1722,22649,23555
674,C1522410,['qlco'],Highest,295,4518,4968
675,C0439662,['fndg'],Immune,191,2435,2155
677,C0205263,['ftcn'],Induce (action),1082,13579,14111
679,C4048299,"['aapp', 'imft']",Tissue Factor,29,463,462
684,C0005558,['diap'],Biopsy,232,2731,2520
687,C3245499,['geoa'],Colombia,451,6991,6981
691,C0684321,['menp'],Regression - mental defense mechanism,532,8259,8607
696,C0016059,['patf'],Fibrosis,101,1593,1488
701,C0220847,['virs'],Hepatitis C virus,269,4265,3555
711,C3161035,['inpr'],Model,277,4105,4310
718,C0039215,['cell'],CD4 Positive T Lymphocytes,66,866,809
719,C0032181,['lbpr'],Platelet Count measurement,103,1293,1331
721,C0023981,['resa'],Longitudinal Studies,1614,21847,22804
722,C0025664,['ftcn'],Methods aspects,701,9724,10171
724,C0239946,['dsyn'],"Fibrosis, Liver",26,401,342
727,C0525032,['lbpr'],International Normalized Ratio,60,1140,1020
728,C0001175,['dsyn'],Acquired Immunodeficiency Syndrome,52,811,735
729,C0439080,['inpr'],Ordinal number,25,351,450
735,C1266129,['neop'],Atypical Lipoma,49,632,626
736,C0037791,['qnco'],Specificity,96,1304,1357
737,C0034980,['inpr'],Regression Analysis,178,2794,2794
738,C0032854,['grpa'],Poverty,463,6592,7095
739,C0005821,['cell'],Blood Platelets,232,3805,3609
740,C0205303,['ftcn'],Non-invasive,101,1221,1246
744,C0918012,['inpr'],Index,797,11915,11960
746,C0018896,['socb'],Helping Behavior,146,2249,2136
751,C0682458,['virs'],immunodeficiency virus,3,50,30
761,C0022877,"['hcro', 'mnob']",Laboratory,451,6254,6305
762,C0001675,['aggp'],Adult,2240,32670,32709
764,C1623038,['dsyn'],Cirrhosis,168,2790,2475
765,C0042295,['qlco'],Values,637,8725,8861
767,C1511726,['idcn'],Data,3238,46632,48870
769,C0681842,['idcn'],prediction,140,2143,2215
771,C1710181,['qnco'],Standard Error,82,1261,1272
775,C0439663,['fndg'],Infected,562,7764,7314
778,C0443131,['qlco'],Accurate (qualifier),184,2440,2445
780,C0750480,['qnco'],Count,268,3832,3789
782,C0884358,['ftcn'],Performed,1832,23796,25425
783,C1883708,['tmco'],Then,774,9924,10605
785,C2987476,['cnce'],Exist,326,4610,4738
786,C0205210,['qlco'],Clinical,2890,42125,43130
787,C4527561,['inpr'],Fibrosis-4 Score,3,60,50
788,C2707520,['inpr'],Patient data,289,4796,4907
790,C1963724,['topp'],Antiretroviral therapy,142,1961,1725
791,C0439093,['qnco'],Greater Than,456,6573,6814
793,C3891303,['tmco'],Atlantic Standard Time,24,262,265
794,C1441672,['ftcn'],Observed,3082,42045,44135
795,C1522427,['qlco'],best (quality),310,4749,4402
796,C3841724,['fndg'],0 - Low,36,552,534
797,C2699424,['idcn'],Concern,525,7414,7907
798,C2984009,['qlco'],Suboptimal,127,1816,1701
799,C0450355,['qnco'],31,1514,21406,22544
800,C1521975,['qlco'],Entered,296,4506,4626
801,C0441771,['inpr'],Stage level 3,523,8325,8879
802,C4517411,['qnco'],0.05,1044,14296,14916
804,C2911685,['resa'],Evaluation Method,9,120,130
805,C0332305,['ftcn'],With staging,12,130,141
806,C1516240,['qnco'],Capacity,179,2357,2359
808,C0439044,['fndg'],Living Alone,979,14371,15187
809,C1955473,['fndg'],Others - Allergy,224,3223,3118
811,C1705241,['qnco'],Delta (difference),3863,55133,57831
812,C1947930,['acty'],Cleaning (activity),68,932,957
813,C0237401,['popg'],Individual,1304,18259,18251
814,C4699563,['fndg'],Severe fibrosis,2,30,20
815,C1507394,['inpr'],Clinical trial protocol document,46,722,701
817,C1427738,['gngm'],SOSTDC1 gene,36,472,521
819,C0205281,['qlco'],Invasive,119,1576,1886
820,C1705273,['inpr'],Mathematical Operator,41,660,621
821,C1709850,['qlco'],Received By,42,660,641
822,C1513918,['qnco'],Negative Predictive Value of Diagnostic Test,42,641,623
823,C4517898,['qnco'],88,792,11604,12066
824,C0205134,['spco'],Curved,249,3377,3444
825,C0441777,['inpr'],Stage level 5,11,140,170
828,C0679846,['inpr'],stages of change,8,120,120
829,C0205146,['spco'],Area,532,7115,7270
830,C4517402,['qnco'],0.03,516,7219,7387
832,C1709450,['qlco'],Pair,146,1832,1980
842,C1561643,['dsyn'],Chronic Kidney Diseases,157,2675,2479
845,C0011860,['dsyn'],"Diabetes Mellitus, Non-Insulin-Dependent",969,16768,16503
848,C0087111,['topp'],Therapeutic procedure,2707,38737,40034
855,C0008976,['resa'],Clinical Trials,6351,94733,97937
857,C0937950,"['aapp', 'phsu']",darbepoetin alfa,21,390,381
859,C1134440,"['aapp', 'phsu']",Aranesp,4,80,80
865,C0027051,['dsyn'],Myocardial Infarction,635,12111,11859
868,C0441471,['evnt'],Event,596,10405,10280
874,C0002871,['dsyn'],Anemia,288,3975,4081
877,C0022646,['bpoc'],Kidney,293,4523,4258
879,C0011065,['orgf'],Cessation of life,1812,30241,30055
881,C0035647,['idcn'],Risk,2031,32247,34408
882,C0026538,['qnco'],Morbidity - disease rate,475,7017,6977
883,C0009247,['qnco'],Cohort Studies,1014,13870,15222
884,C0034656,['resa'],Randomization,7782,112144,117486
885,C0010054,['dsyn'],Coronary Arteriosclerosis,306,5257,5208
886,C0033687,['fndg'],Proteinuria,65,846,866
890,C0446516,['blor'],Upper arm,1287,16982,18087
891,C0019993,['hlca'],Hospitalization,538,9316,8981
892,C0027552,['qlco'],Needs,1817,24507,25800
893,C4684572,['qlco'],Baseline Characteristics,461,7185,7488
896,C2983265,['inpr'],CDISC SEND Study Design Terminology,1427,19663,20584
898,C0150312,['fndg'],Present,2002,26756,28229
900,C1320716,['fndg'],Cardiovascular event,296,5541,5556
906,C1704788,['inpr'],Definition,1559,23144,23823
908,C3887460,['blor'],Cardiovascular,901,16081,15764
910,C3642216,['qnco'],Per Deciliter,192,2995,2832
912,C0205225,['qlco'],Primary,3281,47215,49854
914,C0205164,['qlco'],Major,1090,18045,17739
916,C0205199,['qlco'],Composite,792,14133,14356
918,C0206074,['topp'],Renal Replacement Therapy,21,400,380
919,C1516084,['evnt'],Attempt,206,2715,3072
920,C0549178,['idcn'],Continuous,2005,28450,29513
922,C0596545,['menp'],Experience,1540,21757,22338
923,C0455539,['fndg'],H/O: cardiovascular disease,13,240,260
924,C0442805,['ftcn'],Increase,4313,58760,60586
925,C0205217,['qnco'],Increased,146,1733,1697
926,C4050008,['inpr'],Neither Satisfied nor Dissatisfied,62,902,878
929,C3273238,['inpr'],Regulatory Report,618,8641,9158
930,C1079230,['virs'],Subgroup A Nepoviruses,476,8095,8434
931,C0740992,['dsyn'],anemia hemoglobin,5,80,70
932,C1548602,['idcn'],Initiate (source type),406,5577,5850
934,C4683688,['acty'],Driven,299,4794,4805
935,C3811844,['lbpr'],Estimated Glomerular Filtration Rate,103,1814,1624
936,C1314664,['lbpr'],Dipstick assessment of hemoglobin concentration,78,1202,1094
937,C0439445,['qnco'],mL/min,101,1566,1439
938,C0879626,['patf'],Adverse effects,138,1811,2058
939,C1319277,['lbpr'],Hemoglobin G level,12,230,210
942,C0369637,"['aapp', 'imft']",M NOS ANTIBODY,831,10285,10879
943,C1689985,['anab'],Absence (morphologic abnormality),300,4230,4280
945,C2924612,['blor'],Cephalometric point A,256,3711,3757
947,C1299351,['qlco'],Abnormally high,1168,16330,16633
948,C0750572,['qnco'],Estimated,1218,17223,18845
949,C3842777,['fndg'],Trial 2,224,3498,3613
951,C1997894,['popg'],Clinical trial participant (person),248,3661,3841
953,C3842589,['qnco'],20%,2520,34607,35818
954,C0332185,['tmco'],Recent,691,9758,9925
955,C0444930,['spco'],End,1064,15207,15441
957,C2917382,['phsu'],Erythropoiesis-stimulating Agent [EPC],8,150,150
958,C0018802,['dsyn'],Congestive heart failure,101,1744,1705
959,C0332232,['qlco'],Approximate,729,10063,10785
960,C1704243,['qnco'],Greater,2886,41523,43087
961,C1521840,['ftcn'],Target,1382,19586,19203
